M, alpha, Cm, Cl, Cd
0.6, -4.00, 0.0217, -0.1188, 0.01622
0.6, -2.27, 0.0118, -0.0627, 0.01088
0.6, -0.02, 0.0002, -0.0011, 0.00924
0.6, 2.21, -0.0105, 0.0566, 0.01077
0.6, 4.52, -0.0239, 0.1309, 0.01802
0.6, 6.87, -0.0378, 0.2147, 0.03252
0.6, 9.27, -0.0522, 0.3090, 0.05607
0.6, 11.76, -0.0676, 0.4139, 0.09049
0.8, -3.96, 0.0235, -0.1205, 0.01717
0.8, -2.28, 0.0130, -0.0659, 0.01185
0.8, -0.03, 0.0001, -0.0015, 0.01003
0.8, 2.21, -0.0113, 0.0579, 0.01166
0.8, 4.51, -0.0261, 0.1327, 0.01897
0.8, 6.86, -0.0432, 0.2216, 0.03427
0.8, 9.26, -0.0584, 0.3176, 0.05872
0.8, 11.72, -0.0750, 0.4183, 0.09270
0.98, -3.97, 0.0272, -0.1261, 0.02685
0.98, -2.27, 0.0143, -0.0666, 0.02129
0.98, -0.02, 0.0005, -0.0005, 0.01944
0.98, 2.22, -0.0141, 0.0620, 0.02115
0.98, 4.52, -0.0313, 0.1414, 0.02902
0.98, 6.88, -0.0528, 0.2387, 0.04555
0.98, 9.28, -0.0773, 0.3468, 0.07300
0.98, 11.73, -0.1024, 0.4569, 0.11004
1.2, -3.92, 0.0330, -0.1255, 0.02572
1.2, -2.25, 0.0181, -0.0674, 0.02043
1.2, -0.01, 0.0003, -0.0006, 0.01845
1.2, 2.20, -0.0162, 0.0632, 0.02039
1.2, 4.48, -0.0364, 0.1414, 0.02793 
1.2, 6.78, -0.0604, 0.2324, 0.04340
1.2, 9.13, -0.0852, 0.3288, 0.06790
1.2, 11.47, -0.1088, 0.4223, 0.09974
1.6, -4.29, 0.0318, -0.1247, 0.0232
1.6, -1.94, 0.0132, -0.0517, 0.0163
1.6, -0.85, 0.0051, -0.0214, 0.0152
1.6, 0.29, -0.0031, 0.0097, 0.0151
1.6, 1.45, -0.0115, 0.0418, 0.0159
1.6, 2.59, -0.0206, 0.0765, 0.0179
1.6, 4.92, -0.0396, 0.1512, 0.0261
1.6, 7.31, -0.0591, 0.2291, 0.0432
1.6, 9.71, -0.0781, 0.3072, 0.0663
1.6, 12.08, -0.0978, 0.3860, 0.0964
2.0, -3.50, 0.0222, -0.0907, 0.0174
2.0, -1.23, 0.0071, -0.0298, 0.0132
2.0, -0.09, 0.0002, -0.0018, 0.0126
2.0, 1.02, -0.0072, 0.0254, 0.0132
2.0, 2.14, -0.0143, 0.0535, 0.0143
2.0, 3.34, -0.0225, 0.0869, 0.0172
2.0, 5.61, -0.0372, 0.1490, 0.0266
2.0, 7.94, -0.0531, 0.2156, 0.0419
2.0, 10.24, -0.0685, 0.2791, 0.0625
2.36, -3.25, 0.0175, -0.0790, 0.0158
2.36, -0.98, 0.0052, -0.0251, 0.0122
2.36, 0.14, -0.0015, -0.0047, 0.0119
2.36, 1.23, -0.0069, 0.0267, 0.0125
2.36, 2.38, -0.0143, 0.0574, 0.0141
2.36, 3.48, -0.0201, 0.0823, 0.0165
2.36, 5.72, -0.0326, 0.1357, 0.0248
2.36, 7.98, -0.0475, 0.1985, 0.0390
2.36, 10.26, -0.0605, 0.2507, 0.0569
2.8, -4.74, 0.0210, -0.0964, 0.0188
2.8, -2.51, 0.0094, -0.0458, 0.0126
2.8, -1.40, 0.0039, -0.0208, 0.0112
2.8, -0.35, -0.0002, 0.0033, 0.0108
2.8, 0.77, -0.0055, 0.0206, 0.0111
2.8, 1.86, -0.0109, 0.03446, 0.0119
2.8, 4.07, -0.0225, 0.0950, 0.0171
2.8, 6.28, -0.0336, 0.1419, 0.0258
2.8, 8.49, -0.0443, 0.1870, 0.0383
2.8, 10.67, -0.0554, 0.2326, 0.0548
