# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (kg / ( m* s^2 ))
0,0,420,0,0,105.386,105.866,0,0,0,0,0,10.078,43.47,-80.54,0,0,0,0,85,90,1.367e5,7.032e4,250.642,1.003,9.804,NaN,336.348,NaN,1.58e4,11.795,0,1.891,1.754,0.032,0.105,1.891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0,0,20.32,324.293,0.01,0.004,0,0
0.01,0.005,420.005,1.053,1.058,105.311,105.791,5.038e-4,0,5.038e-4,90,0.101,10.071,43.47,-80.54,0.463,0,0,0,85,90,1.366e5,7.026e4,250.617,1.003,9.804,NaN,336.417,NaN,1.579e4,11.787,0.016,0.769,0.632,0.032,0.105,0.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.99,0.001,338.734,0.003,3.863e5,20.32,324.293,0.01,0.006,1.125e-4,0.659
0.02,0.021,420.021,2.106,2.116,105.31,105.712,0.002,0,0.002,90,0.201,9.213,43.47,-80.54,0.463,0,0,0,85,90,1.366e5,7.021e4,250.592,1.002,9.804,NaN,336.487,NaN,1.577e4,11.779,0.058,0.683,0.546,0.032,0.105,0.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.989,0.001,338.734,0.006,7.723e5,20.32,324.293,0.01,0.006,2.249e-4,2.634
0.03,0.047,420.047,3.159,3.173,105.234,105.636,0.004,0,0.004,90,0.294,9.207,43.47,-80.54,0.309,0,0,0,85,90,1.365e5,7.015e4,250.568,1.002,9.804,NaN,336.556,NaN,1.575e4,11.772,0.123,0.64,0.503,0.032,0.105,0.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.985,0.001,338.734,0.009,1.158e6,20.32,324.293,0.01,0.007,3.371e-4,5.921
0.04,0.084,420.084,4.21,4.228,104.976,105.377,0.008,5.391e-9,0.008,90,0.385,9.184,43.47,-80.54,0.232,0,0,0,85,90,1.364e5,7.007e4,250.543,1.002,9.804,NaN,336.695,NaN,1.571e4,11.745,0.209,0.613,0.476,0.032,0.105,0.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.981,0.001,338.734,0.012,1.543e6,20.32,324.293,0.01,0.007,4.491e-4,10.514
0.05,0.132,420.132,5.258,5.28,104.717,105.117,0.012,7.412e-9,0.012,90,0.477,9.162,43.47,-80.54,0.185,0,0,0,85,90,1.363e5,6.998e4,250.518,1.001,9.804,NaN,336.834,NaN,1.566e4,11.719,0.316,0.594,0.457,0.032,0.105,0.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.976,0.001,338.734,0.016,1.927e6,20.32,324.293,0.01,0.008,5.609e-4,16.401
0.06,0.189,420.189,6.303,6.329,104.275,104.673,0.017,9.433e-9,0.017,90,0.569,9.123,43.47,-80.54,0.155,0,0,0,85,90,1.363e5,6.993e4,250.524,1.001,9.804,NaN,336.989,NaN,1.56e4,11.674,0.442,0.579,0.442,0.032,0.106,0.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.269,963.969,0.001,338.734,0.019,2.31e6,20.32,324.293,0.01,0.008,6.723e-4,23.565
0.07,0.258,420.258,7.344,7.374,103.832,104.229,0.024,1.145e-8,0.024,90,0.66,9.084,43.47,-80.54,0.133,0,0,0,85,90,1.362e5,6.987e4,250.53,1.001,9.804,NaN,337.144,NaN,1.553e4,11.628,0.588,0.567,0.43,0.032,0.106,0.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.961,0.001,338.734,0.022,2.691e6,20.32,324.293,0.01,0.009,7.832e-4,31.984
0.08,0.336,420.336,8.38,8.414,103.389,103.784,0.031,1.348e-8,0.031,90,0.75,9.045,43.47,-80.54,0.116,0,0,0,85,90,1.362e5,6.982e4,250.537,1,9.804,NaN,337.299,NaN,1.546e4,11.583,0.752,0.557,0.42,0.032,0.106,0.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.268,963.952,0.001,338.733,0.025,3.071e6,20.32,324.293,0.01,0.009,8.937e-4,41.643
0.09,0.425,420.425,9.413,9.451,103.242,103.636,0.039,1.55e-8,0.039,90,0.841,9.032,43.47,-80.54,0.104,0,0,0,85,90,1.361e5,6.976e4,250.518,1,9.804,NaN,337.385,NaN,1.544e4,11.568,0.934,0.548,0.411,0.032,0.106,0.548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.941,0.001,338.733,0.028,3.45e6,20.32,324.293,0.01,0.01,0.001,52.542
0.1,0.525,420.525,10.445,10.486,103.094,103.487,0.047,1.752e-8,0.047,90,0.931,9.02,43.47,-80.54,0.093,0,0,0,85,90,1.36e5,6.97e4,250.498,1,9.804,NaN,337.471,NaN,1.541e4,11.553,1.134,0.541,0.404,0.032,0.106,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.267,963.93,0.001,338.732,0.031,3.828e6,20.32,324.293,0.01,0.01,0.001,64.687
0.11,0.634,420.634,11.475,11.52,102.945,103.339,0.057,1.954e-8,0.057,90,1.021,9.007,43.47,-80.54,0.085,0,0,0,85,90,1.36e5,6.964e4,250.479,0.999,9.804,NaN,337.558,NaN,1.538e4,11.538,1.352,0.534,0.397,0.032,0.106,0.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.266,963.917,0.001,338.732,0.034,4.205e6,20.32,324.293,0.01,0.012,0.001,78.074
0.12,0.754,420.754,12.504,12.553,102.797,103.19,0.068,2.156e-8,0.068,90,1.111,8.994,43.47,-80.54,0.078,0,0,0,85,90,1.359e5,6.958e4,250.46,0.999,9.804,NaN,337.644,NaN,1.535e4,11.523,1.588,0.528,0.391,0.032,0.106,0.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.265,963.903,0.001,338.732,0.037,4.582e6,20.32,324.293,0.01,0.013,0.001,92.696
