# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (mbar)
0,0,420,0,0,103.305,103.986,0,0,0,0,0,11.885,43.47,-80.54,84,0,0,0,84,90,1.339e5,6.789e4,235.709,0.984,9.804,NaN,322.067,NaN,1.523e4,11.601,1.318e-4,0.673,0.55,0.023,0.1,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.946,90,12.27,963.991,0.001,338.735,0.006,6.923e5,20.32,324.293,0.01,0.023,0,0
0.01,0.005,420.005,1.033,1.039,103.231,103.912,5.941e-4,0,5.941e-4,90,0.119,11.876,43.47,-80.54,57.836,0,0,0,84,90,1.338e5,6.784e4,235.686,0.984,9.804,NaN,322.133,NaN,1.521e4,11.593,0.02,0.653,0.53,0.023,0.1,0.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.983,90,12.27,963.99,0.001,338.734,0.007,8.332e5,20.32,324.293,0.01,0.037,1.107e-4,0.006
0.02,0.021,420.021,2.065,2.078,103.263,103.832,0.002,0,0.002,90,0.237,10.853,43.47,-80.54,41.561,0,0,0,84,90,1.338e5,6.779e4,235.664,0.984,9.804,NaN,322.2,NaN,1.519e4,11.586,0.085,0.625,0.502,0.023,0.1,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02,90,12.27,963.989,0.001,338.734,0.009,1.089e6,20.32,324.293,0.01,0.04,2.213e-4,0.025
0.03,0.046,420.046,3.097,3.116,103.189,103.757,0.005,0,0.005,90,0.346,10.846,43.47,-80.54,31.817,0,0,0,84,90,1.337e5,6.773e4,235.641,0.983,9.804,NaN,322.266,NaN,1.518e4,11.578,0.187,0.602,0.479,0.023,0.1,0.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,90,12.27,963.986,0.001,338.734,0.012,1.395e6,20.32,324.293,0.01,0.043,3.316e-4,0.057
0.04,0.083,420.083,4.127,4.152,102.934,103.501,0.009,6.357e-9,0.009,90,0.454,10.819,43.47,-80.54,25.7,0,0,0,84,90,1.336e5,6.765e4,235.617,0.983,9.804,NaN,322.399,NaN,1.513e4,11.552,0.315,0.583,0.46,0.023,0.1,0.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.095,90,12.269,963.981,0.001,338.734,0.014,1.726e6,20.32,324.293,0.01,0.047,4.419e-4,0.101
0.05,0.129,420.129,5.156,5.186,102.68,103.245,0.014,8.74e-9,0.014,90,0.562,10.792,43.47,-80.54,21.594,0,0,0,84,90,1.335e5,6.757e4,235.595,0.983,9.804,NaN,322.532,NaN,1.509e4,11.526,0.466,0.567,0.444,0.023,0.1,0.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.132,90,12.269,963.976,0.001,338.734,0.017,2.07e6,20.32,324.293,0.01,0.049,5.518e-4,0.158
0.06,0.186,420.186,6.18,6.216,102.244,102.808,0.021,1.112e-8,0.021,90,0.67,10.746,43.47,-80.54,18.311,0,0,0,84,90,1.335e5,6.751e4,235.599,0.982,9.804,NaN,322.681,NaN,1.503e4,11.482,0.632,0.555,0.432,0.023,0.1,0.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.122,90,12.269,963.969,0.001,338.734,0.02,2.413e6,20.32,324.293,0.01,0.051,6.614e-4,0.227
0.07,0.253,420.253,7.2,7.242,101.809,102.369,0.028,1.351e-8,0.028,90,0.777,10.701,43.47,-80.54,15.86,0,0,0,84,90,1.334e5,6.746e4,235.605,0.982,9.804,NaN,322.83,NaN,1.496e4,11.437,0.811,0.545,0.422,0.023,0.1,0.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.111,90,12.268,963.961,0.001,338.734,0.023,2.76e6,20.32,324.293,0.01,0.053,7.705e-4,0.309
0.08,0.33,420.33,8.216,8.264,101.373,101.931,0.036,1.589e-8,0.036,90,0.884,10.655,43.47,-80.54,13.967,0,0,0,84,90,1.334e5,6.741e4,235.611,0.982,9.804,NaN,322.978,NaN,1.49e4,11.393,0.996,0.536,0.413,0.023,0.1,0.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.101,90,12.268,963.952,0.001,338.733,0.026,3.11e6,20.32,324.293,0.01,0.055,8.791e-4,0.402
0.09,0.417,420.417,9.229,9.282,101.179,101.736,0.045,1.828e-8,0.045,90,0.99,10.634,43.47,-80.54,12.462,0,0,0,84,90,1.333e5,6.733e4,235.586,0.981,9.804,NaN,323.089,NaN,1.486e4,11.373,1.189,0.528,0.405,0.023,0.1,0.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.091,90,12.267,963.942,0.001,338.733,0.029,3.462e6,20.32,324.293,0.01,0.057,9.875e-4,0.507
