# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (kg / ( m* s^2 ))
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,1.244e5,6.372e4,232.766,0.912,9.792,NaN,342.063,NaN,0,0,0,0.657,0.529,0.023,0.105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.928,90,15,1013.25,0.001,340.389,0.006,7.238e5,20.32,324.293,0.01,0.059,0,0
0.01,0,0,0.008,0.008,4.518,4.518,0,0,0,0,5.253e-6,0.003,28.61,-80.6,89.777,0,0,0,90,0,1.243e5,6.365e4,232.731,0.912,9.792,NaN,342.144,NaN,1779.25,1.461,7.227e-9,0.657,0.529,0.023,0.105,9.733e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.934,90,15,1013.25,0.001,340.389,0.006,7.259e5,20.32,324.293,0.012,0.095,9.641e-7,3.473e-5
0.022,8.459e-4,8.459e-4,0.167,0.167,21.864,21.864,-2.958e-7,0,2.958e-7,270,4.374e-5,0.003,28.61,-80.6,85.074,0,0,0,90,0,1.243e5,6.357e4,232.687,0.911,9.792,NaN,342.242,NaN,3933.41,3.233,7.497e-5,0.656,0.528,0.023,0.105,9.954e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,90,15,1013.25,0.001,340.389,0.006,7.31e5,20.32,324.293,0.01,0.105,2.141e-5,0.017
0.032,0.004,0.004,0.458,0.458,36.209,36.209,-8.964e-7,0,8.964e-7,270,7.669e-5,0.003,28.61,-80.6,76.765,0,0,0,90,0,1.242e5,6.35e4,232.662,0.911,9.792,NaN,342.353,NaN,5712.66,4.698,0.001,0.653,0.525,0.023,0.105,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.946,90,15,1013.25,0.001,340.389,0.006,7.503e5,20.32,324.293,0.012,0.113,5.858e-5,0.128
0.044,0.013,0.013,1.003,1.003,53.645,53.645,-2.09e-6,0,2.09e-6,270,1.213e-4,0.004,28.61,-80.6,62.805,0,0,0,90,0,1.241e5,6.342e4,232.631,0.911,9.792,NaN,342.488,NaN,7872.802,6.478,0.012,0.643,0.515,0.023,0.105,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.952,90,15,1013.249,0.001,340.389,0.006,8.239e5,20.32,324.293,0.01,0.121,1.284e-4,0.616
0.054,0.025,0.025,1.611,1.611,68.024,68.024,-3.523e-6,0,3.523e-6,270,1.671e-4,0,28.61,-80.6,50.405,0,0,0,90,0,1.24e5,6.336e4,232.634,0.91,9.792,NaN,342.683,NaN,9652.052,7.947,0.039,0.629,0.501,0.023,0.105,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.948,90,15,1013.247,0.001,340.389,0.007,9.491e5,20.32,324.293,0.012,0.127,2.063e-4,1.59
0.066,0.05,0.05,2.513,2.513,84.99,84.99,-5.492e-6,0,5.492e-6,270,1.671e-4,0,28.61,-80.6,37.506,0,0,0,90,0,1.24e5,6.328e4,232.639,0.91,9.792,NaN,342.913,NaN,1.175e4,9.679,0.108,0.607,0.479,0.023,0.105,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.929,90,15,1013.244,0.001,340.389,0.009,1.189e6,20.32,324.293,0.01,0.133,3.217e-4,3.868
0.076,0.079,0.079,3.402,3.402,92.774,92.774,-7.163e-6,0,7.163e-6,270,1.671e-4,0,28.61,-80.6,29.342,0,0,0,90,0,1.239e5,6.321e4,232.611,0.91,9.792,NaN,343.009,NaN,1.271e4,10.474,0.2,0.588,0.46,0.023,0.105,0.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.912,90,14.999,1013.241,0.001,340.389,0.011,1.465e6,20.32,324.293,0.01,0.138,4.355e-4,7.088
0.086,0.118,0.118,4.368,4.368,100.567,100.567,-8.833e-6,0,8.833e-6,270,1.671e-4,0,28.61,-80.6,23.459,0,0,0,90,0,1.238e5,6.314e4,232.584,0.909,9.792,NaN,343.105,NaN,1.367e4,11.27,0.321,0.571,0.443,0.023,0.105,0.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.896,90,14.999,1013.236,0.001,340.388,0.014,1.788e6,20.32,324.293,0.012,0.143,5.593e-4,11.689
0.098,0.176,0.176,5.604,5.604,109.737,109.737,-1.08e-5,0,1.08e-5,270,1.671e-4,0,28.61,-80.6,18.512,0,0,0,90,0,1.237e5,6.307e4,232.551,0.909,9.792,NaN,343.217,NaN,1.479e4,12.207,0.498,0.554,0.426,0.023,0.106,0.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.877,90,14.999,1013.229,0.001,340.388,0.017,2.219e6,20.32,324.293,0.01,0.15,7.176e-4,19.237
