# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,420,0,0,0,0,0,0,0,0,0,0,47.99,-81.87,0,0,0,0,82,90,1.101e5,4.936e4,170.357,0.819,9.808,NaN,322.023,NaN,0,0,0,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0,0,20.32,324.293,0.002,0.005,0
0.002,0,420,0,0,0,0,0,0,0,0,0,0,47.99,-81.87,0,0,0,0,82,90,1.101e5,4.935e4,170.356,0.819,9.808,NaN,322.033,NaN,275,0.255,0,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0,0,20.32,324.293,0.002,0.008,0
0.004,0,420,0,0,0,0,0,0,0,0,0,0,47.99,-81.87,0,0,0,0,82,90,1.1e5,4.934e4,170.356,0.819,9.808,NaN,322.043,NaN,550,0.51,0,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0,0,20.32,324.293,0.002,0.009,0
0.006,0,420,0,0,0,0,0,0,0,0,0,0,47.99,-81.87,0,0,0,0,82,90,1.1e5,4.933e4,170.355,0.819,9.808,NaN,322.053,NaN,825,0.764,0,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0,0,20.32,324.293,0.002,0.01,0
0.008,0,420,3.094e-5,4.648e-4,0.093,1.395,0,0,0,0,4.638e-4,1.391,47.99,-81.87,0,0,0,0,82,90,1.1e5,4.932e4,170.354,0.819,9.808,NaN,322.063,NaN,1100,1.019,6.967e-9,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,1.372e-6,155.386,20.32,324.293,0.002,0.011,6.771e-8
0.01,1.898e-6,420,0.003,0.004,2.569,3.103,3.942e-6,0,3.942e-6,90,0.004,1.739,47.99,-81.87,0,0,0,0,82,90,1.1e5,4.931e4,170.354,0.819,9.808,NaN,322.072,NaN,1375,1.274,6.504e-7,1.69,1.562,0.023,0.105,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,1.326e-5,1501.388,20.32,324.293,0.002,0.012,5.864e-7
0.012,1.407e-5,420,0.01,0.013,5.046,5.461,1.484e-5,0,1.484e-5,90,0.007,2.088,47.99,-81.87,27.754,0,0,0,82,90,1.1e5,4.93e4,170.353,0.819,9.808,NaN,322.082,NaN,1650,1.529,6.045e-6,1.69,1.562,0.023,0.105,1.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,3.75e-5,4245.876,20.32,324.293,0.002,0.014,1.478e-6
0.014,4.643e-5,420,0.023,0.026,7.523,7.908,3.409e-5,0,3.409e-5,90,0.012,2.436,47.99,-81.87,19.571,0,0,0,82,90,1.1e5,4.929e4,170.353,0.819,9.808,NaN,322.092,NaN,1925,1.784,2.772e-5,1.69,1.562,0.023,0.105,2.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,7.619e-5,8626.884,20.32,324.293,0.002,0.016,2.832e-6
0.016,1.089e-4,420,0.04,0.044,10.001,10.381,6.309e-5,0,6.309e-5,90,0.017,2.784,47.99,-81.87,15.018,0,0,0,82,90,1.1e5,4.928e4,170.352,0.819,9.808,NaN,322.102,NaN,2200,2.04,7.077e-5,1.494,1.366,0.023,0.105,1.925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,1.296e-4,1.467e4,20.32,324.293,0.002,0.017,4.671e-6
0.018,2.113e-4,420,0.063,0.067,12.479,12.866,1.032e-4,0,1.032e-4,90,0.023,3.132,47.99,-81.87,12.156,0,0,0,82,90,1.1e5,4.927e4,170.352,0.819,9.808,NaN,322.112,NaN,2475,2.295,1.398e-4,1.316,1.188,0.023,0.105,1.633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,1.977e-4,2.239e4,20.32,324.293,0.002,0.018,7e-6
0.02,3.637e-4,420,0.09,0.095,14.958,15.357,1.559e-4,0,1.559e-4,90,0.03,3.481,47.99,-81.87,10.199,0,0,0,82,90,1.1e5,4.926e4,170.351,0.819,9.808,NaN,322.122,NaN,2750,2.55,2.46e-4,1.194,1.066,0.023,0.105,1.426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,2.807e-4,3.178e4,20.32,324.293,0.002,0.019,9.822e-6
0.022,5.892e-4,420.001,0.125,0.13,17.57,17.986,2.264e-4,0,2.264e-4,90,0.037,3.848,47.99,-81.87,8.715,0,0,0,82,90,1.1e5,4.925e4,170.351,0.818,9.808,NaN,322.132,NaN,3039.73,2.819,4.105e-4,1.1,0.972,0.023,0.105,1.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,3.84e-4,4.348e4,20.32,324.293,0.002,0.02,1.333e-5
0.024,8.751e-4,420.001,0.162,0.168,20.049,20.483,3.092e-4,0,3.092e-4,90,0.045,4.196,47.99,-81.87,7.655,0,0,0,82,90,1.099e5,4.924e4,170.352,0.818,9.808,NaN,322.146,NaN,3314.73,3.074,6.299e-4,1.032,0.903,0.023,0.105,1.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,4.973e-4,5.631e4,20.32,324.293,0.002,0.02,1.716e-5
0.026,0.001,420.001,0.205,0.212,22.529,22.983,4.087e-4,0,4.087e-4,90,0.054,4.545,47.99,-81.87,6.824,0,0,0,82,90,1.099e5,4.923e4,170.353,0.818,9.808,NaN,322.16,NaN,3589.73,3.33,9.251e-4,0.977,0.849,0.023,0.105,1.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,6.254e-4,7.081e4,20.32,324.293,0.002,0.021,2.149e-5
0.028,0.002,420.002,0.252,0.26,25.01,25.484,5.264e-4,0,5.264e-4,90,0.064,4.893,47.99,-81.87,6.155,0,0,0,82,90,1.099e5,4.922e4,170.355,0.818,9.808,NaN,322.174,NaN,3864.73,3.585,0.001,0.932,0.803,0.023,0.105,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,7.682e-4,8.699e4,20.32,324.293,0.002,0.022,2.632e-5
0.03,0.002,420.002,0.305,0.314,27.491,27.986,6.637e-4,0,6.637e-4,90,0.074,5.242,47.99,-81.87,5.605,0,0,0,82,90,1.099e5,4.921e4,170.356,0.818,9.808,NaN,322.188,NaN,4139.73,3.84,0.002,0.894,0.766,0.023,0.105,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,9.259e-4,1.048e5,20.32,324.293,0.002,0.024,3.164e-5
0.032,0.003,420.003,0.362,0.372,29.972,30.489,8.22e-4,0,8.22e-4,90,0.085,5.591,47.99,-81.87,5.145,0,0,0,82,90,1.099e5,4.92e4,170.358,0.818,9.808,NaN,322.201,NaN,4414.73,4.096,0.002,0.862,0.733,0.023,0.105,0.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,12.27,963.991,0.001,338.735,0.001,1.244e5,20.32,324.293,0.002,0.025,3.745e-5
