# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (kg / ( m* s^2 ))
0,0,420.014,0,0,0,0,0,0,0,0,0,0,47.965,-81.874,90.257,0,0,0,84,280,1.254e5,6.372e4,238.486,0.921,9.808,NaN,341.348,NaN,0,0,-1.607e-7,0.535,0.42,0.01,0.106,-1.211e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322,12.46,18,987.583,0.001,342.207,0.024,2.994e6,20.32,324.293,0.01,0.03,0,0
0.01,0,420.014,0.007,0.008,4.316,4.568,0,0,0,0,0.002,1.498,47.965,-81.874,90.206,0,0,0,84,280,1.253e5,6.365e4,238.451,0.921,9.808,NaN,341.428,NaN,1779.25,1.448,-8.28e-8,0.535,0.42,0.01,0.106,-6.24e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322,12.46,18,987.583,0.001,342.207,0.024,2.994e6,20.32,324.293,0.012,0.053,7.721e-7,3.425e-5
0.022,8.215e-4,420.015,0.163,0.166,21.436,21.688,-1.828e-4,1.848e-5,1.838e-4,275.771,0.031,3.293,47.965,-81.874,89.118,0,0,0,84,280,1.252e5,6.357e4,238.41,0.921,9.808,NaN,341.524,NaN,3933.41,3.203,6.45e-6,0.535,0.42,0.01,0.106,4.862e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322,12.46,18,987.583,0.001,342.207,0.024,2.994e6,20.32,324.293,0.01,0.056,1.62e-5,0.016
0.032,0.004,420.018,0.448,0.454,35.594,35.914,-6.834e-4,7.91e-5,6.88e-4,276.602,0.072,4.78,47.965,-81.874,87.138,0,0,0,84,280,1.251e5,6.35e4,238.386,0.92,9.808,NaN,341.634,NaN,5712.66,4.655,2.162e-4,0.535,0.42,0.01,0.106,1.627e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.323,12.46,18,987.582,0.001,342.207,0.024,2.996e6,20.32,324.293,0.012,0.059,4.403e-5,0.122
0.044,0.012,420.027,0.985,0.995,52.803,53.213,-0.002,2.474e-4,0.002,277.265,0.141,6.588,47.965,-81.874,83.437,0,0,0,84,280,1.251e5,6.342e4,238.358,0.92,9.808,NaN,341.767,NaN,7872.802,6.419,0.003,0.534,0.419,0.01,0.106,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.323,12.46,18,987.581,0.001,342.207,0.024,3.012e6,20.32,324.293,0.01,0.062,9.625e-5,0.585
0.054,0.025,420.039,1.584,1.598,67.102,67.472,-0.004,4.946e-4,0.004,277.643,0.214,7.053,47.965,-81.874,79.373,0,0,0,84,280,1.25e5,6.336e4,238.365,0.92,9.808,NaN,341.961,NaN,9652.052,7.874,0.01,0.533,0.418,0.01,0.106,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.323,12.459,18,987.58,0.001,342.207,0.025,3.044e6,20.32,324.293,0.012,0.064,1.545e-4,1.509
0.066,0.049,420.063,2.473,2.492,83.847,84.309,-0.007,9.471e-4,0.007,278.038,0.308,8.813,47.965,-81.874,73.555,0,0,0,84,280,1.249e5,6.328e4,238.374,0.919,9.808,NaN,342.189,NaN,1.175e4,9.591,0.038,0.532,0.416,0.01,0.106,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.324,12.458,18,987.577,0.001,342.207,0.025,3.119e6,20.32,324.293,0.01,0.067,2.406e-4,3.67
0.076,0.078,420.092,3.35,3.374,91.53,92.034,-0.01,0.001,0.01,278.337,0.4,9.62,47.965,-81.874,68.142,0,0,0,84,280,1.248e5,6.321e4,238.348,0.919,9.808,NaN,342.284,NaN,1.271e4,10.379,0.088,0.529,0.414,0.01,0.106,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.325,12.457,17.999,987.574,0.001,342.207,0.026,3.224e6,20.32,324.293,0.01,0.07,3.255e-4,6.725
0.086,0.116,420.13,4.304,4.333,99.221,99.767,-0.015,0.002,0.015,278.583,0.5,10.429,47.965,-81.874,62.689,0,0,0,84,280,1.248e5,6.314e4,238.322,0.919,9.808,NaN,342.378,NaN,1.367e4,11.167,0.173,0.526,0.411,0.01,0.106,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.327,12.456,17.999,987.569,0.001,342.206,0.027,3.368e6,20.32,324.293,0.012,0.072,4.178e-4,11.092
0.098,0.174,420.188,5.523,5.559,108.27,108.867,-0.021,0.003,0.021,278.81,0.628,11.38,47.965,-81.874,56.432,0,0,0,84,280,1.247e5,6.307e4,238.291,0.918,9.808,NaN,342.489,NaN,1.479e4,12.095,0.33,0.521,0.406,0.01,0.106,0.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.329,12.453,17.999,987.562,0.001,342.206,0.029,3.592e6,20.32,324.293,0.01,0.074,5.359e-4,18.257
